Trans. Date,Post Date,Description,Amount,Category
01/02/2026,01/02/2026,INTEREST CHARGE ON BALANCE TRANSFERS,20.98,Interest
01/02/2026,01/02/2026,INTEREST CHARGE ON PURCHASES,0.55,Interest
01/08/2026,01/08/2026,INTERNET PAYMENT - THANK YOU,-124.00,Payments and Credits
02/02/2026,02/02/2026,INTEREST CHARGE ON BALANCE TRANSFERS,20.35,Interest
02/02/2026,02/02/2026,INTEREST CHARGE ON PURCHASES,0.98,Interest
02/28/2026,02/28/2026,LATE FEE,41.00,Fees
03/02/2026,03/02/2026,INTEREST CHARGE ON BALANCE TRANSFERS,18.38,Interest
03/02/2026,03/02/2026,INTEREST CHARGE ON PURCHASES,0.90,Interest
